name,location,area,urlinf,imginf
湯野浜温泉（ゆのはま）,山形県,東北,https://www.yukoyuko.net/onsen/0147,https://static.yukoyuko.net/images/onsen/onsen_0147_0001.jpg
箱根大平台温泉（はこねおおひらだい）,神奈川県,関東,https://www.yukoyuko.net/onsen/0345,https://static.yukoyuko.net/images/onsen/onsen_0345_0001.jpg
天草下田温泉（あまくさしもだ）,熊本県,九州,https://www.yukoyuko.net/onsen/0374,https://static.yukoyuko.net/images/onsen/onsen_0374_0001.jpg
宇奈月温泉（うなづき）,富山県,中部,https://www.yukoyuko.net/onsen/0511,https://static.yukoyuko.net/images/onsen/onsen_0511_0001.jpg
白骨温泉（しらほね）,長野県,中部,https://www.yukoyuko.net/onsen/0548,https://static.yukoyuko.net/images/onsen/onsen_0548_0001.jpg
別所温泉（べっしょ）,長野県,中部,https://www.yukoyuko.net/onsen/0555,https://static.yukoyuko.net/images/onsen/onsen_0555_0001.jpg
瀬波温泉（せなみ）,新潟県,中部,https://www.yukoyuko.net/onsen/0586,https://static.yukoyuko.net/images/onsen/onsen_0586_0001.jpg
六日町温泉（むいかまち）,新潟県,中部,https://www.yukoyuko.net/onsen/0599,https://static.yukoyuko.net/images/onsen/onsen_0599_0001.jpg
朝里川温泉（あさりがわ）,北海道,北海道,https://www.yukoyuko.net/onsen/0645,https://static.yukoyuko.net/images/onsen/onsen_0645_0001.jpg
十勝川温泉（とかちがわ）,北海道,北海道,https://www.yukoyuko.net/onsen/0668,https://static.yukoyuko.net/images/onsen/onsen_0668_0001.jpg
作並温泉（さくなみ）,宮城県,東北,https://www.yukoyuko.net/onsen/0695,https://static.yukoyuko.net/images/onsen/onsen_0695_0001.jpg
温海温泉/あつみ温泉（あつみ）,山形県,東北,https://www.yukoyuko.net/onsen/0706,https://static.yukoyuko.net/images/onsen/onsen_0706_0001.jpg
小野川温泉（おのがわ）,山形県,東北,https://www.yukoyuko.net/onsen/0718,https://static.yukoyuko.net/images/onsen/onsen_0718_0001.jpg
湯田温泉（ゆだ）,山口県,中国,https://www.yukoyuko.net/onsen/0724,https://static.yukoyuko.net/images/onsen/onsen_0724_0001.jpg
箱根大涌谷温泉（はこねおおわくだに）,神奈川県,関東,https://www.yukoyuko.net/onsen/0796,https://static.yukoyuko.net/images/onsen/onsen_0796_0001.jpg
